Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"SW3","Pressure Limit","RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx",192.712400,-117.722000,-90.000000,bottom
"U6","SSD1305 OLED","SSD1305_OLED",166.573200,-81.432400,180.000000,bottom
